 ! Swift/XRT lightcurve of trigger: 554620, name: GRB 130427A
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00554620
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
454.630	1.104	-1.414	2.99413467e-08	3.99647427e-09	-6.81886866e-09
456.805	0.924	-1.072	3.87295023e-08	4.9981843e-09	-8.75907508e-09
459.022	1.398	-1.292	2.842430756e-08	3.720054945e-09	-6.44953563e-09
461.801	1.434	-1.382	2.725009535e-08	3.628846693e-09	-6.1658963e-09
464.817	1.587	-1.582	2.413145419e-08	3.328952427e-09	-5.45551678e-09
467.700	1.315	-1.295	2.930629904e-08	3.921582708e-09	-6.63845475e-09
470.227	1.339	-1.212	2.970334919e-08	3.881552081e-09	-6.76666247e-09
473.218	1.456	-1.652	2.479168866e-08	3.106743089e-09	-5.63520087e-09
476.314	1.372	-1.640	2.527049068e-08	3.302895447e-09	-5.72329255e-09
478.758	1.204	-1.072	3.350296454e-08	4.64131435e-09	-7.29456293e-09
481.449	1.352	-1.487	2.689771259e-08	3.639554596e-09	-5.58492349e-09
484.252	1.171	-1.452	2.891046392e-08	4.01518894e-09	-6.23116306e-09
486.908	1.275	-1.485	2.806304265e-08	3.87110162e-09	-5.96515971e-09
489.314	1.217	-1.131	3.493194809e-08	4.70388238e-09	-7.15193525e-09
491.726	1.154	-1.195	3.499662538e-08	4.54967382e-09	-6.64968275e-09
494.356	1.206	-1.477	3.063349275e-08	4.14463976e-09	-6.32296399e-09
496.758	1.564	-1.195	2.950955391e-08	4.15800509e-09	-6.5512573e-09
499.384	1.657	-1.062	3.026751609e-08	4.007285631e-09	-6.65391731e-09
503.181	2.182	-2.141	1.892763308e-08	2.486157093e-09	-4.15154899e-09
506.778	1.463	-1.414	2.860182625e-08	3.627438782e-09	-6.18686459e-09
